,Date,Job,Scenario,Area,Price,Fundamental Metric
73,2024-06-22,BC_Jan22_Aug24_G6WithRe,Scenario_A,TKO,60.21897793688924,492.8252108076726
74,2024-06-25,BC_Jan22_Aug24_G6WithRe,Scenario_A,CGK,21.954454702499294,376.4084069201942
75,2024-06-27,BC_Jan22_Aug24_G6WithRe1,Scenario_A,SYS,46.868419761413605,746.9129659083727
76,2024-06-28,BC_Jan22_Aug24_G6WithRe1,Scenario_A,TKO,66.14269639430363,864.689760850016
77,2024-07-01,BC_Jan22_Aug24_G6WithRe1,Scenario_B,TKO,74.5548949735205,543.4359370387428
78,2024-07-02,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKD,79.91950656404455,770.0182188843535
79,2024-07-05,BC_Jan22_Aug24_G6WithRe1,Scenario_A,SYS,33.11912972527088,418.979522569388
80,2024-07-09,BC_Jan22_Aug24_G6WithRe,Scenario_B,SYS,2.116435799242178,382.3344434350012
81,2024-07-12,BC_Jan22_Aug24_G6WithRe,Scenario_B,CHB,84.44395451655305,87.59703673647078
82,2024-07-14,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CHB,91.39215410424501,337.51587822684894
83,2024-07-17,BC_Jan22_Aug24_G6WithRe1,Scenario_A,TKO,56.075067640400015,627.0285363091546
84,2024-07-20,BC_Jan22_Aug24_G6WithRe1,Scenario_B,CGK,88.93952393260655,246.066057995714
85,2024-07-24,BC_Jan22_Aug24_G6WithRe,Scenario_A,CGK,20.32862681315247,7.446383359299702
86,2024-07-28,BC_Jan22_Aug24_G6WithRe1,Scenario_B,SYS,9.097087834298224,829.9099515441823
87,2024-07-29,BC_Jan22_Aug24_G6WithRe,Scenario_B,CGK,70.08665441112002,94.31854974987463
88,2024-08-02,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CHB,0.46035402533475267,597.6433188824748
89,2024-08-06,BC_Jan22_Aug24_G6WithRe,Scenario_A,TKO,80.56810852442216,590.8221294876713
90,2024-08-07,BC_Jan22_Aug24_G6WithRe,Scenario_A,CHB,63.28918809160512,526.6339240768953
91,2024-08-10,BC_Jan22_Aug24_G6WithRe1,Scenario_B,TKO,8.310866753395796,83.08996429946546
92,2024-08-11,BC_Jan22_Aug24_G6WithRe1,Scenario_A,SYS,41.924806034659035,198.0765502535482
93,2024-08-15,BC_Jan22_Aug24_G6WithRe,Scenario_B,KNS,27.59252806361544,168.61902056593647
94,2024-08-17,BC_Jan22_Aug24_G6WithRe,Scenario_B,TKO,57.2952125748366,606.0406492202685
95,2024-08-21,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CGK,88.08424506596377,762.5667717484836
96,2024-08-24,BC_Jan22_Aug24_G6WithRe1,Scenario_A,HKR,55.83977257313714,86.05229426578065
97,2024-08-26,BC_Jan22_Aug24_G6WithRe,Scenario_A,TKO,11.356252251768916,623.17345730954
98,2024-08-29,BC_Jan22_Aug24_G6WithRe1,Scenario_B,CGK,54.81352952940024,476.56796820752743
99,2024-09-02,BC_Jan22_Aug24_G6WithRe1,Scenario_A,TKO,52.07549161254559,941.4915140927392
